"AVENIDA 30 DE AGOSTO","VIGILANCIA DE 10 PM A 6 AM","VIG","22:00:00","06:00:00",NULL
"AVENIDA 30 DE AGOSTO","VIGILANCIA DE 6 AM A 6 PM","VIG","06:00:00","18:00:00",NULL
"AVENIDA 30 DE AGOSTO","VIGILANCIA DE 6 PM A 6 AM","VIG","18:00:00","06:00:00",NULL
"AVENIDA 30 DE AGOSTO","CAMBIO DE TURNO VIGILANCIA","CAMB TURN","14:00:00","22:00:00",NULL
"AVENIDA 30 DE AGOSTO","TURNOCORRIDO,BODEGA","BODEGARECO","06:00:00","14:00:00",NULL
"AVENIDA 30 DE AGOSTO","DIA CUMPLEAÑOS","DIACUMP","06:00:00","14:00:00",NULL
"AVENIDA 30 DE AGOSTO","APOYO ENSALADAS Y ARMADO 10 AM A 6 PM","TCOR2","10:00:00","18:00:00",NULL
"AVENIDA 30 DE AGOSTO","TUNO CORRIDO 6:00 AM A 10:00 PAPAS","TCOR2","18:00:00","22:00:00",NULL
"AVENIDA 30 DE AGOSTO","TURNO CORRIDO 6:00 PM A 10:30 PM","TCOR2","18:00:00","22:00:00",NULL
"AVENIDA 30 DE AGOSTO","TURNOCORRIDO3","TCOR3","22:00:00","06:00:00",NULL
"AVENIDA 30 DE AGOSTO",NULL,"TCOR3","22:00:00","06:00:00",NULL
"AVENIDA 30 DE AGOSTO","PAGO HORAS 8:00 AM a 16:00 PM","PAGHOR","08:00:00","16:00:00","1"
"AVENIDA 30 DE AGOSTO","desayunos 6:00 AM A 2:00 PM","TCOR2","06:00:00","14:00:00",NULL
"AVENIDA 30 DE AGOSTO","bodega 9:00 AM A 5:00 PM","TCOR2","09:00:00","17:00:00",NULL
"AVENIDA 30 DE AGOSTO","bodega 6:00 AM A 2:00 PM","TCOR2","06:00:00","14:00:00",NULL
"AVENIDA 30 DE AGOSTO","PAGO DE HORAS 8:00 AM A 4:30 PM","TCOR2","08:00:00","16:00:00",NULL
"AVENIDA 30 DE AGOSTO","APOYO 6:00 AM A 2:00 PM","TCOR2","06:00:00","14:00:00",NULL
"AVENIDA 30 DE AGOSTO","APOYO 6:00 PM A 10:00 PM","TCOR2","18:00:00","22:00:00",NULL
"AVENIDA 30 DE AGOSTO","TURNOCORRIDO3","PAR3","18:00:00","22:00:00",NULL
"AVENIDA 30 DE AGOSTO","incapacidad","inc","08:00:00","16:00:00","1"
"AVENIDA CALLCENTER","TURNO CORRIDO 10:00 AM A 6:00 PM","TCOR","10:00:00","18:00:00",NULL
"AVENIDA CALLCENTER","TURNO CORRIDO 11:00 AM  A 6:00 PM","TCOR","11:00:00","18:00:00",NULL
